date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2024-07-02,Brazil,Colombia,1.0,1.0,Copa América,Santa Clara,United States,True
2024-07-04,Argentina,Ecuador,1.0,1.0,Copa América,Houston,United States,True
2024-07-05,Germany,Spain,1.0,2.0,UEFA Euro,Stuttgart,Germany,False
2024-07-05,Portugal,France,0.0,0.0,UEFA Euro,Hamburg,Germany,True
2024-07-06,England,Switzerland,1.0,1.0,UEFA Euro,Düsseldorf,Germany,True
2024-07-06,Netherlands,Turkey,2.0,1.0,UEFA Euro,Berlin,Germany,True
2024-07-06,Uruguay,Brazil,0.0,0.0,Copa América,Las Vegas,United States,True
2024-07-06,Colombia,Panama,5.0,0.0,Copa América,Glendale,United States,True
2024-07-09,Spain,France,2.0,1.0,UEFA Euro,Munich,Germany,True
2024-07-09,Argentina,Canada,2.0,0.0,Copa América,East Rutherford,United States,True
2024-07-10,Netherlands,England,1.0,2.0,UEFA Euro,Dortmund,Germany,True
2024-07-10,Uruguay,Colombia,0.0,1.0,Copa América,Charlotte,United States,True
2024-07-13,Canada,Uruguay,2.0,2.0,Copa América,Charlotte,United States,True
2024-07-14,Spain,England,2.0,1.0,UEFA Euro,Berlin,Germany,True
2024-07-14,Argentina,Colombia,1.0,0.0,Copa América,Miami Gardens,United States,True
2024-09-05,Portugal,Croatia,2.0,1.0,UEFA Nations League,Lisbon,Portugal,False
2024-09-06,Egypt,Cape Verde,3.0,0.0,African Cup of Nations qualification,Cairo,Egypt,False
2024-09-06,Uruguay,Paraguay,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2024-09-06,Brazil,Ecuador,1.0,0.0,FIFA World Cup qualification,Curitiba,Brazil,False
2024-09-07,Mexico,New Zealand,3.0,0.0,Friendly,Pasadena,United States,True
2024-09-07,United States,Canada,1.0,2.0,Friendly,Kansas City,United States,False
2024-09-07,Netherlands,Bosnia and Herzegovina,5.0,2.0,UEFA Nations League,Eindhoven,Netherlands,False
2024-09-08,Portugal,Scotland,2.0,1.0,UEFA Nations League,Lisbon,Portugal,False
2024-09-08,Switzerland,Spain,1.0,4.0,UEFA Nations League,Geneva,Switzerland,False
2024-09-09,France,Belgium,2.0,0.0,UEFA Nations League,Décines-Charpieu,France,False
2024-09-09,Norway,Austria,2.0,1.0,UEFA Nations League,Oslo,Norway,False
2024-09-10,Mexico,Canada,0.0,0.0,Friendly,Arlington,United States,True
2024-09-10,United States,New Zealand,1.0,1.0,Friendly,Cincinnati,United States,False
2024-09-10,Netherlands,Germany,2.0,2.0,UEFA Nations League,Amsterdam,Netherlands,False
2024-09-10,Colombia,Argentina,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2024-09-10,Paraguay,Brazil,1.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False
2024-10-10,Ecuador,Paraguay,0.0,0.0,FIFA World Cup qualification,Quito,Ecuador,False
2024-10-10,Uzbekistan,Iran,0.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2024-10-10,Jordan,South Korea,0.0,2.0,FIFA World Cup qualification,Amman,Jordan,False
2024-10-10,Saudi Arabia,Japan,0.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2024-10-11,Bosnia and Herzegovina,Germany,1.0,2.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2024-10-12,United States,Panama,2.0,0.0,Friendly,Austin,United States,False
2024-10-12,Croatia,Scotland,2.0,1.0,UEFA Nations League,Zagreb,Croatia,False
2024-10-13,Austria,Norway,5.0,1.0,UEFA Nations League,Linz,Austria,False
2024-10-14,Belgium,France,1.0,2.0,UEFA Nations League,Leuven,Belgium,False
2024-10-14,Germany,Netherlands,1.0,0.0,UEFA Nations League,Munich,Germany,False
2024-10-15,Canada,Panama,2.0,1.0,Friendly,Toronto,Canada,False
2024-10-15,Mexico,United States,2.0,0.0,Friendly,Zapopan,Mexico,False
2024-10-15,Scotland,Portugal,0.0,0.0,UEFA Nations League,Glasgow,Scotland,False
2024-10-15,Uruguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2024-10-15,Iran,Qatar,4.0,1.0,FIFA World Cup qualification,Dubai,United Arab Emirates,True
2024-10-15,South Korea,Iraq,3.0,2.0,FIFA World Cup qualification,Yongin,South Korea,False
2024-10-15,Japan,Australia,1.0,1.0,FIFA World Cup qualification,Saitama,Japan,False
2024-11-14,Paraguay,Argentina,2.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,False
2024-11-14,Qatar,Uzbekistan,3.0,2.0,FIFA World Cup qualification,Al Rayyan,Qatar,False
2024-11-14,Iraq,Jordan,0.0,0.0,FIFA World Cup qualification,Basra,Iraq,False
2024-11-14,Australia,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Melbourne,Australia,False
2024-11-15,Scotland,Croatia,1.0,0.0,UEFA Nations League,Glasgow,Scotland,False
2024-11-15,Uruguay,Colombia,3.0,2.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2024-11-15,Cape Verde,Egypt,1.0,1.0,African Cup of Nations qualification,Praia,Cape Verde,False
2024-11-16,Germany,Bosnia and Herzegovina,7.0,0.0,UEFA Nations League,Freiburg,Germany,False
2024-11-18,Croatia,Portugal,1.0,1.0,UEFA Nations League,Split,Croatia,False
2024-11-18,Spain,Switzerland,3.0,2.0,UEFA Nations League,Santa Cruz de Tenerife,Spain,False
2024-11-19,Bosnia and Herzegovina,Netherlands,1.0,1.0,UEFA Nations League,Zenica,Bosnia and Herzegovina,False
2024-11-19,Colombia,Ecuador,0.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2024-11-19,Brazil,Uruguay,1.0,1.0,FIFA World Cup qualification,Salvador,Brazil,False
2024-12-28,Iraq,Saudi Arabia,1.0,3.0,Gulf Cup,Kuwait City,Kuwait,True
2025-01-22,Uzbekistan,Jordan,0.0,0.0,Friendly,Doha,Qatar,True
2025-03-20,Canada,Mexico,0.0,2.0,CONCACAF Nations League,Inglewood,United States,True
2025-03-20,United States,Panama,0.0,1.0,CONCACAF Nations League,Inglewood,United States,False
2025-03-20,Croatia,France,2.0,0.0,UEFA Nations League,Split,Croatia,False
2025-03-20,Netherlands,Spain,2.0,2.0,UEFA Nations League,Rotterdam,Netherlands,False
2025-03-20,Brazil,Colombia,2.0,1.0,FIFA World Cup qualification,Brasília,Brazil,False
2025-03-21,Uruguay,Argentina,0.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,False
2025-03-23,United States,Canada,1.0,2.0,CONCACAF Nations League,Inglewood,United States,False
2025-03-23,Panama,Mexico,1.0,2.0,CONCACAF Nations League,Inglewood,United States,True
2025-03-23,France,Croatia,2.0,0.0,UEFA Nations League,Paris,France,False
2025-03-23,Spain,Netherlands,3.0,3.0,UEFA Nations League,Valencia,Spain,False
2025-03-25,Colombia,Paraguay,2.0,2.0,FIFA World Cup qualification,Barranquilla,Colombia,False
2025-03-25,Argentina,Brazil,4.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2025-03-25,Iran,Uzbekistan,2.0,2.0,FIFA World Cup qualification,Tehran,Iran,False
2025-03-25,South Korea,Jordan,1.0,1.0,FIFA World Cup qualification,Suwon,South Korea,False
2025-03-25,Japan,Saudi Arabia,0.0,0.0,FIFA World Cup qualification,Saitama,Japan,False
2025-05-30,Saudi Arabia,Jordan,2.0,0.0,Friendly,Dammam,Saudi Arabia,False
2025-06-04,Germany,Portugal,1.0,2.0,UEFA Nations League,Munich,Germany,False
2025-06-05,Spain,France,5.0,4.0,UEFA Nations League,Stuttgart,Germany,True
2025-06-05,Ecuador,Brazil,0.0,0.0,FIFA World Cup qualification,Guayaquil,Ecuador,False
2025-06-05,Paraguay,Uruguay,2.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False
2025-06-05,Qatar,Iran,1.0,0.0,FIFA World Cup qualification,Al Rayyan,Qatar,False
2025-06-05,Iraq,South Korea,0.0,2.0,FIFA World Cup qualification,Basra,Iraq,False
2025-06-05,Australia,Japan,1.0,0.0,FIFA World Cup qualification,Perth,Australia,False
2025-06-06,Morocco,Tunisia,2.0,0.0,Friendly,Fès,Morocco,False
2025-06-07,Mexico,Switzerland,2.0,4.0,Friendly,Salt Lake City,United States,True
2025-06-07,United States,Turkey,1.0,2.0,Friendly,East Hartford,United States,False
2025-06-07,Ivory Coast,New Zealand,0.0,1.0,Canadian Shield,Toronto,Canada,True
2025-06-08,Germany,France,0.0,2.0,UEFA Nations League,Stuttgart,Germany,False
2025-06-08,Portugal,Spain,2.0,2.0,UEFA Nations League,Munich,Germany,True
2025-06-09,Croatia,Czech Republic,5.0,1.0,FIFA World Cup qualification,Osijek,Croatia,False
2025-06-10,England,Senegal,1.0,3.0,Friendly,London,England,False
2025-06-10,Mexico,Turkey,1.0,0.0,Friendly,Chapel Hill,United States,True
2025-06-10,Sweden,Algeria,4.0,3.0,Friendly,Solna,Sweden,False
2025-06-10,United States,Switzerland,0.0,4.0,Friendly,Nashville,United States,False
2025-06-10,Argentina,Colombia,1.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,False
2025-06-10,Brazil,Paraguay,1.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,False
2025-06-10,Uzbekistan,Qatar,3.0,0.0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
2025-06-10,Jordan,Iraq,0.0,1.0,FIFA World Cup qualification,Amman,Jordan,False
2025-06-10,Saudi Arabia,Australia,1.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False
2025-06-10,Canada,Ivory Coast,0.0,0.0,Canadian Shield,Toronto,Canada,False
2025-06-10,Haiti,Curaçao,1.0,5.0,FIFA World Cup qualification,Oranjestad,Aruba,True
2025-06-15,Haiti,Saudi Arabia,0.0,1.0,Gold Cup,San Diego,United States,True
2025-06-19,United States,Saudi Arabia,1.0,0.0,Gold Cup,Austin,United States,False
2025-06-21,Curaçao,Canada,1.0,1.0,Gold Cup,Houston,United States,True
2025-06-22,United States,Haiti,2.0,1.0,Gold Cup,Arlington,United States,False
2025-06-28,Mexico,Saudi Arabia,2.0,0.0,Gold Cup,Glendale,United States,True
2025-07-06,United States,Mexico,1.0,2.0,Gold Cup,Houston,United States,False
2025-09-04,Paraguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False
2025-09-05,Australia,New Zealand,1.0,0.0,Soccer Ashes,Canberra,Australia,False
2025-09-06,Mexico,Japan,0.0,0.0,Friendly,Oakland,United States,True
2025-09-06,United States,South Korea,0.0,2.0,Friendly,Harrison,United States,False
2025-09-07,Turkey,Spain,0.0,6.0,FIFA World Cup qualification,Konya,Turkey,False
2025-09-08,Czech Republic,Saudi Arabia,1.0,1.0,Friendly,Hradec Králové,Czech Republic,False
2025-09-09,Mexico,South Korea,2.0,2.0,Friendly,Nashville,United States,True
2025-09-09,New Zealand,Australia,1.0,3.0,Soccer Ashes,Auckland,New Zealand,False
2025-09-09,United States,Japan,2.0,0.0,Friendly,Columbus,United States,False
2025-09-09,Ecuador,Argentina,1.0,0.0,FIFA World Cup qualification,Guayaquil,Ecuador,False
2025-09-09,DR Congo,Senegal,2.0,3.0,FIFA World Cup qualification,Kinshasa,DR Congo,False
2025-09-09,Bosnia and Herzegovina,Austria,1.0,2.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False
2025-10-09,Czech Republic,Croatia,0.0,0.0,FIFA World Cup qualification,Prague,Czech Republic,False
2025-10-10,Canada,Australia,0.0,1.0,Friendly,Montreal,Canada,False
2025-10-10,Japan,Paraguay,2.0,2.0,Kirin Cup,Osaka,Japan,False
2025-10-10,South Korea,Brazil,0.0,5.0,Friendly,Seoul,South Korea,False
2025-10-10,United States,Ecuador,1.0,1.0,Friendly,Austin,United States,False
2025-10-10,Sweden,Switzerland,0.0,2.0,FIFA World Cup qualification,Solna,Sweden,False
2025-10-11,Mexico,Colombia,0.0,4.0,Friendly,Arlington,United States,True
2025-10-13,Uzbekistan,Uruguay,1.0,2.0,Friendly,Malacca City,Malaysia,True
